Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11986,12529,2021-02-08 23:38:28 EST,2021-02-08,23:38:28,Photo,379,118,39,104,2,33,75,2,6,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2722641381399462,"A new CDC study says mask mandates may work. It studied mandates in 10 states March-October. The study stopped in October. And look what happened after October in the exact same states they were studying 👇 Now, how did they miss that big mess? https://twitter.com/covid_clarity/status/1358953037642027013?s=21",https://www.facebook.com/MNRIGHTS/photos/a.1579487729048172/2722641294732804/?type=3,,"Clarity @covid_clarity A new CDC study says mask mandates may work. It studied mandates in 10 states March- March-October. The study stopped in October. And look what happened after October in the exact same states they were studying Now, how did they miss that big mess?",Photos from Health Freedom Minnesota's post,,,,,379,1.5
Health Freedom Florida-State Page,HealthFreedomFlorida,1316510371709819,CAUSE,US,Health Freedom Florida is a grassroots group representing those that wish to retain their own personal sovereignty without governmental forced mandates relating to our personal practice of healthcare.,2016-08-09 02:35:18,7877,8368,2021-02-10 23:32:19 EST,2021-02-10,23:32:19,Photo,377,64,63,85,1,76,3,8,76,1,,-,0,0,0,N/A,https://www.facebook.com/1316510371709819/posts/4352274598133366,THIS IS OUT OF CONTROL. Praying @flgovrondesantis can stand strong!!!!!!!!!!!,https://www.facebook.com/HealthFreedomFlorida/photos/a.1332662366761286/4352274324800060/?type=3,,,Photos from Health Freedom Florida-State Page's post,,,,,377,2.46
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11990,12533,2021-02-10 11:21:01 EST,2021-02-10,11:21:01,Link,377,88,27,146,0,65,1,47,3,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2723583917971875,"At least 36 people may have developed a rare blood disorder, known as immune thrombocytopenia (ITP), after taking either Pfizer and BioNTech or Moderna's COVID-19 vaccines, according to a report. The condition develops when the immune system attacks platelets, a blood component essential for clotting, or the cells that create them, for unknown reasons. https://www.foxnews.com/us/coronavirus-vaccination-may-be-cause-of-rare-blood-disorder-in-at-least-36-people-report",https://www.foxnews.com/us/coronavirus-vaccination-may-be-cause-of-rare-blood-disorder-in-at-least-36-people-report,,,Coronavirus vaccination may be cause of rare blood disorder in at least 36 people: report,"At least 36 people may have developed a rare blood disorder, known as immune thrombocytopenia (ITP), after taking either Pfizer and BioNTech or Moderna's COVID-19 vaccines, according to a report.",,,,377,1.62
Health Freedom Florida-State Page,HealthFreedomFlorida,1316510371709819,CAUSE,US,Health Freedom Florida is a grassroots group representing those that wish to retain their own personal sovereignty without governmental forced mandates relating to our personal practice of healthcare.,2016-08-09 02:35:18,7965,8459,2021-02-15 21:39:26 EST,2021-02-15,21:39:26,Photo,359,39,38,149,2,68,0,9,54,0,,-,0,0,0,N/A,https://www.facebook.com/1316510371709819/posts/4367218273305665,"We need to be watching and we need to be praying for Israel, as we’ve said before, they are steps ahead of us, just far enough to predict our future. Start organizing, show up to local meetings, find your tribe, maybe buy a blueberry bush, but please don’t think this can’t happen to us....",https://www.facebook.com/HealthFreedomFlorida/photos/a.1332662366761286/4367217453305747/?type=3,,"Netanyahu ahead of press conference in Jerusalem, today. Credit: REUTERS Netanyahu Pushes for Legislation to Disclose Names of Unvaccinated Israelis to Authorities Coronavirus cabinet approves advancing the proposal, which will address how the information on those not yet vaccinated will be protected Judy Maltz, Ido Efrati back the title to this 14.02.2021 Let' go cause article, and subtitle where Features, upo confu Sounds good",Photos from Health Freedom Florida-State Page's post,,,,,359,2.35
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11960,12505,2021-02-19 11:51:30 EST,2021-02-19,11:51:30,Link,352,211,67,57,4,6,6,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2729689270694673,"Amid the dire Covid warnings, one crucial fact has been largely ignored: Cases are down 77% over the past six weeks. If a medication slashed cases by 77%, we’d call it a miracle pill. Why is the number of cases plummeting much faster than experts predicted? https://www.wsj.com/articles/well-have-herd-immunity-by-april-11613669731?fbclid=IwAR2Jx6U68wf8JmYXup3fSrH2CLooFdoff2-yamOtYvIJbhyGJuciRKseoQs",https://www.wsj.com/articles/well-have-herd-immunity-by-april-11613669731,,,Opinion | We’ll Have Herd Immunity by April,Covid cases have dropped 77% in six weeks. Experts should level with the public about the good news.,,,,352,1.51
Health Freedom Florida-State Page,HealthFreedomFlorida,1316510371709819,CAUSE,US,Health Freedom Florida is a grassroots group representing those that wish to retain their own personal sovereignty without governmental forced mandates relating to our personal practice of healthcare.,2016-08-09 02:35:18,7909,8400,2021-02-12 09:16:06 EST,2021-02-12,09:16:06,Photo,351,182,24,74,68,1,0,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/1316510371709819/posts/4356302314397261,"BREAKING!!! @standforhealthfreedom along with a group of physicians, lawyers, legislators and scientists are putting out a call for an investigation into the CDC’s conduct during this “pandemic.” They believe that a federal investigation would reveal that the CDC compromised data quality in 2020 and beyond, under the guise of Covid19. There will be a live panel discussing death certificate data, what steps the CDC took to set the stage for widespread devastation and the best part, ACTIONABLE STEPS, so this never happens again!!! Wednesday, February 17, 6pm EST. Link to get the event reminder in our linktree (PLUS ALL THEIR VALUABLE DATA, as well) FINALLY someone is demanding accountability and going after the criminals who perpetuated this whole debacle, ITS TIME!!!!!! https://standforhealthfreedom.com/cdc-investigation/",https://www.facebook.com/HealthFreedomFlorida/photos/a.1332662366761286/4356301877730638/?type=3,,,Photos from Health Freedom Florida-State Page's post,,,,,351,2.29
Health Freedom Florida-State Page,HealthFreedomFlorida,1316510371709819,CAUSE,US,Health Freedom Florida is a grassroots group representing those that wish to retain their own personal sovereignty without governmental forced mandates relating to our personal practice of healthcare.,2016-08-09 02:35:18,7872,8363,2021-02-07 22:41:53 EST,2021-02-07,22:41:53,Photo,345,168,24,17,56,0,79,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/1316510371709819/posts/4343965402297619,"Amazing day, fishing, eating, planning, OH and watching the TAMPA BAY BUCS WIN!!!!!!! @movanhook @rkuyk #champabay #gobucs🏈",https://www.facebook.com/HealthFreedomFlorida/photos/a.1332662366761286/4343964945630998/?type=3,,NATIONAL National File @NationalFile Tom Brady did not wear a mask to the #SuperBowl prompting liberals to become very upset on Twitter dot com. Liberals Are VERY UPSET That Tom Brady Didn't Wear A Mask Το The Super Bowl Liberals Are VERY UPSET That Tom Brady Didn't Wear A Mask Το The Sup... nationalfile.com,,,,,,345,2.25
Health Freedom Florida-State Page,HealthFreedomFlorida,1316510371709819,CAUSE,US,Health Freedom Florida is a grassroots group representing those that wish to retain their own personal sovereignty without governmental forced mandates relating to our personal practice of healthcare.,2016-08-09 02:35:18,7877,8368,2021-02-10 20:56:02 EST,2021-02-10,20:56:02,Photo,325,10,29,68,0,99,0,41,78,0,,-,0,0,0,N/A,https://www.facebook.com/1316510371709819/posts/4351942984833194,Here we go.,https://www.facebook.com/HealthFreedomFlorida/photos/a.1332662366761286/4351942628166563/?type=3,,8:37 LTE Story Û2 2m highwiretalk X Posts Followers Foll lowing HighWire with De Bigtree User not found THE HIGHWIRE INSTAGRAM INSTAGRAM HAS BEEN SCRUBBED ON No Posts Yet User not found Seen Promote Highlight More,Photos from Health Freedom Florida-State Page's post,,,,,325,2.12
UK Medical Freedom Alliance,,105404128050400,MEDICAL_HEALTH,GB,"We are an alliance of UK medical professionals, scientists and lawyers who are campaigning for Medical Freedom, Informed Consent and Bodily Autonomy to be preserved and protected in this state of emergency.",2020-11-09 10:48:08,2515,2791,2021-02-16 03:52:13 EST,2021-02-16,03:52:13,Native Video,321,126,15,141,38,0,0,0,0,1,owned,-,1216,2798,0,00:01:46,https://www.facebook.com/105404128050400/posts/173326424591503,Wise words from a courageous and very knowledgable scientist.,,,,,,,,,321,6.69
Health Freedom Florida-State Page,HealthFreedomFlorida,1316510371709819,CAUSE,US,Health Freedom Florida is a grassroots group representing those that wish to retain their own personal sovereignty without governmental forced mandates relating to our personal practice of healthcare.,2016-08-09 02:35:18,7841,8330,2021-02-03 21:17:25 EST,2021-02-03,21:17:25,Native Video,319,103,19,119,76,0,0,1,1,0,owned,Yes,1462,4774,0,00:03:14,https://www.facebook.com/1316510371709819/posts/4332539000106926,FLORIDA GIRLS GOT GAME,https://www.facebook.com/HealthFreedomFlorida/videos/237366334777728/,,,"We laughed, we cheered ans we pretty much cried 3 times!!!!",,,,,319,3.94
Tennessee Coalition for Vaccine Choice,TN4VaxChoice,1592571291060774,POLITICAL_ORGANIZATION,US,Political Organization,2016-04-12 17:30:51,6587,6904,2021-02-05 16:20:41 EST,2021-02-05,16:20:41,Photo,316,28,43,96,0,20,0,119,4,6,,-,0,0,0,N/A,https://www.facebook.com/1592571291060774/posts/2787193624931862,"“Doctors said Drene Keyes, whose death is under investigation, died of flash pulmonary edema likely caused by anaphylaxis, a life-threatening allergic reaction, which some people have experienced after receiving the COVID vaccine.” https://childrenshealthdefense.org/defender/woman-dies-hours-after-first-dose-pfizer-vaccine/?fbclid=IwAR1NG1pic0Yc7tMrYnjcRYptMNN5ucA5FCbuO8MjT4wAvRsDqjsqZJ1xwtk",https://www.facebook.com/TN4VaxChoice/photos/a.1688495571468345/2787193551598536/?type=3,,i CHILDRENSHEALTHDEFENSE.ORG 58-Year-Old Woman Dies Hours After Getting First Dose of Pfizer Vaccine Children's Health Defense,,,,,,316,1.71
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11986,12529,2021-02-09 13:56:36 EST,2021-02-09,13:56:36,Photo,301,76,22,92,0,71,11,27,2,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2723031891360411,"NAVARRE, Ohio (WJW)– Two days after employees were given their first round of COVID-19 vaccinations, the Fairless Local School District canceled classes, attributing it to many developing side effects and becoming ill. Link in comments.",https://www.facebook.com/MNRIGHTS/photos/a.1579487729048172/2723031788027088/?type=3,,fox8.com … 23° FOX 8 Northeast Ohio school district cancels class over COVID-19 vaccine reactions Health officials say don't be discouraged by vaccine side effects School Scho_b district closes of vaccine reactions,,,,,,301,1.2
Tennessee Coalition for Vaccine Choice,TN4VaxChoice,1592571291060774,POLITICAL_ORGANIZATION,US,Political Organization,2016-04-12 17:30:51,6585,6901,2021-02-09 16:07:01 EST,2021-02-09,16:07:01,Photo,299,69,1,154,0,46,0,25,3,1,,-,0,0,0,N/A,https://www.facebook.com/1592571291060774/posts/2790133334637891,https://childrenshealthdefense.org/defender/pfizer-moderna-vaccines-life-threatening-blood-disorder/?fbclid=IwAR3dgmR_O8V47eHOWLLZby_MSUefBSGO031miJ4-8eKtkjGp7LS0nGVbiMc,https://www.facebook.com/TN4VaxChoice/photos/a.1688495571468345/2790133204637904/?type=3,,"Doctors Link Pfizer, Moderna Vaccines to Life- Threatening Blood Disorder A second New York Times article quotes doctors who say the mRNA technology used in COVID vaccines may cause immune thrombocytopenia, a blood disorder that last month led to the death of a Florida doctor after his first dose of the Pfizer vaccine. By Children's Health Defense Team f 3 Platelet count",,,,,,299,1.62
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11956,12501,2021-02-20 10:26:30 EST,2021-02-20,10:26:30,Link,285,116,52,54,1,48,4,4,6,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2730324143964519,You can’t study long term effects or efficacy when you promptly vaccinate the placebo group. https://www.npr.org/sections/health-shots/2021/02/19/969143015/long-term-studies-of-covid-19-vaccines-hurt-by-placebo-recipients-getting-immuni?utm_campaign=npr&utm_source=facebook.com&utm_medium=social&utm_term=nprnews&fbclid=IwAR2QRzVd7ZZTopMLoWEYFJgIyy03pE5S6VjdhrCVrUm7j3-VD6t_BbpLR7w,https://www.npr.org/sections/health-shots/2021/02/19/969143015/long-term-studies-of-covid-19-vaccines-hurt-by-placebo-recipients-getting-immuni?utm_campaign=npr&utm_source=facebook.com&utm_medium=social&utm_term=nprnews,,,Long-Term Studies Of COVID-19 Vaccines Hurt By Placebo Recipients Getting Immunized,Researchers are trying to learn more about COVID-19 vaccines from original study participants. The quest is hampered because many people who first received a placebo shot are opting for the vaccine.,,,,285,1.22
Health Freedom Ohio,hfo4you,1780780855277063,HEALTH_SITE,US,"501(c)4 nonprofit organization dedicated to maintaining our fundamental human right to health freedom. Volunteer based and grassroots consisting of Ohioans, medical, and health professionals. It's your health, your life, your way.",2018-03-19 23:13:36,22021,22846,2021-02-16 14:13:48 EST,2021-02-16,14:13:48,Native Video,278,101,28,91,58,0,0,0,0,0,owned,Yes,873,1872,0,00:00:22,https://www.facebook.com/1780780855277063/posts/3909373639084430,"It is the official position of Health Freedom Ohio that human beings shall always retain choice when deciding what products they will or will not consume. This choice shall be made freely, without coercion, persuasion, or other manner of manipulation. Informed consent also includes informed refusal, and we must always respect the choice another makes for themselves regarding these products. We are infinitely grateful for State Representative Jon Cross and his direct line of questioning, as well as the current administration of Governor Mike DeWine and the Ohio Department of Health for their support of informed consent, a position that we have recently seen members of the Ohio General Assembly come under attack for holding. It takes great leadership skills, commendable humility and extraordinary moral courage to be willing to learn, grow and listen to the citizenry in order to understand that individual choices in medical interventions must remain voluntary. Consent is among the most sacred medical tenets and imperative human rights that has long been recognized since the establishment of the Universal Declaration on Bioethics and Human Rights (UNESCO). We feel a pressing need to establish that the use of the term ""anti-vaccine"" to describe pro-consent individuals and organizations is derogatory and a form of hate speech. The use of this term is intended to incite violence and create division and discrimination within our communities. HFO is grateful for the news organizations that refrain from using such incendiary language and who possess the journalistic integrity to honor the fourth estate by conducting thorough, unbiased research and reporting of the facts. Dayton Daily News 10TV - WBNS Kevin Landers Laura Bischoff DDN The Columbus Dispatch Enquirer - Cincinnati and Kentucky WSYX ABC 6 NBC4 Spectrum News 1 Ohio cleveland.com Ohio Statehouse News The Ohio Star Jack Windsor - Investigative Journalist Gongwer News Service Ohio",https://www.facebook.com/hfo4you/videos/334045151271751/,,,,,,,,278,5.45
