Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
AWAKE LIKE ME,,918890171535718,none,,,,19781,N/A,2020-09-01 03:45:31 EDT,2020-09-01,03:45:31,Photo,"1,410",833,31,498,33,0,8,3,1,3,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3337220933035951,Thanks Judy.,https://www.facebook.com/photo.php?fbid=10159664626982573&set=gm.3337220933035951&type=3,,,,,,,,"1,410",10.68
AWAKE LIKE ME,,918890171535718,none,,,,20215,N/A,2020-09-02 12:37:10 EDT,2020-09-02,12:37:10,Photo,"1,298",786,31,267,113,2,95,0,1,3,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3340322586059119,,,,,,,,,,"1,298",9.83
Open Oregon,,2882853491751153,none,,,,18546,N/A,2020-09-02 08:23:34 EDT,2020-09-02,08:23:34,Link,"1,285",43,412,198,0,19,8,13,591,1,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3267686023267896,"Yes, this is what you do when your State is being overrun by criminals. Great job “burn your State to the ground Brown.”",https://www.oregonlive.com/news/2020/09/oregon-gov-kate-brown-signs-into-law-expanded-restrictions-on-police-use-of-force.html,,,Oregon Gov. Kate Brown signs into law expanded restrictions on police use of force,"Three weeks after Oregon lawmakers passed an expanded ban on chokeholds and restrictions on other types of police use of force, Gov. Kate Brown on Tuesday signed that bill into law.",,,,"1,285",8.45
AWAKE LIKE ME,,918890171535718,none,,,,20605,N/A,2020-09-03 11:42:15 EDT,2020-09-03,11:42:15,Photo,"1,271",780,101,342,25,1,6,4,11,1,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3344442512313793,,https://www.facebook.com/photo.php?fbid=3186863314715551&set=p.3186863314715551&type=3,,"U MIGHT NOT WANT 2 HEAR THIS, BUT... FORCING PEOPLE 2 WEAR MASKS HAS NOTHING 2 Do WITH SAFETY. IT'S AN EXPERIMENT 2 SEE WHO CAN BE CONTROLLED WHO WILL BE A PROBLEM #Juggermaut",Æn,,,,,"1,271",8.83
Open Oregon,,2882853491751153,none,,,,18758,N/A,2020-09-09 19:21:32 EDT,2020-09-09,19:21:32,Link,"1,199",15,694,98,0,8,5,38,340,1,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3291571840879314,,https://www.oregonlive.com/news/2020/09/oregon-gov-kate-brown-warns-the-human-toll-of-wildfires-will-be-extremely-difficult-to-bear.html,,,Oregon Gov. Kate Brown warns the human toll of wildfires will be ‘extremely difficult’ to bear,Oregon Gov. Kate Brown and state fire and emergency officials on Wednesday delivered an update on wildfires raging around the state.,,,,"1,199",7.89
AWAKE LIKE ME,,918890171535718,none,,,,21053,N/A,2020-09-04 12:01:14 EDT,2020-09-04,12:01:14,Photo,"1,196",420,34,658,17,2,62,0,3,0,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3347398138684897,Thanks **Randi **,https://www.facebook.com/photo.php?fbid=10159677458647573&set=gm.3347398138684897&type=3,,,,,,,,"1,196",8.31
Open Oregon,,2882853491751153,none,,,,19087,N/A,2020-09-12 00:20:24 EDT,2020-09-12,00:20:24,Photo,"1,190",321,27,659,161,2,0,1,0,19,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3298199376883227,,https://www.facebook.com/photo.php?fbid=3635692376449690&set=gm.3298199376883227&type=3,,,,,,,,"1,190",5.09
AWAKE LIKE ME,,918890171535718,none,,,,19781,N/A,2020-09-01 03:07:46 EDT,2020-09-01,03:07:46,Photo,"1,190",475,39,523,17,4,123,2,4,3,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3337147716376606,Thanks Rob.,https://www.facebook.com/photo.php?fbid=10159664562332573&set=gm.3337147716376606&type=3,,,,,,,,"1,190",8.26
AWAKE LIKE ME,,918890171535718,none,,,,21053,N/A,2020-09-04 02:24:12 EDT,2020-09-04,02:24:12,Photo,"1,179",339,16,570,6,4,237,4,2,1,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3346126108812100,,https://www.facebook.com/photo.php?fbid=10159676105087573&set=gm.3346126108812100&type=3,,,,,,,,"1,179",8.19
Open Oregon,,2882853491751153,none,,,,18721,N/A,2020-09-04 17:07:15 EDT,2020-09-04,17:07:15,Link,"1,168",25,603,32,0,5,281,4,217,1,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3275342325835599,Our second Labor Day warning. Thanks Kate!,https://www.kgw.com/article/news/health/coronavirus/gov-brown-news-conference-covid-19-portland-protests/283-fe57f1a6-4025-43c9-bf2e-843946013284,,,Gov. Brown urges Oregonians to 'make smart choices' during Labor Day weekend as COVID-19 cases decline,State health officials said it will not take much for another spike in cases.,,,,"1,168",7.68
Open Oregon,,2882853491751153,none,,,,19087,N/A,2020-09-12 18:16:02 EDT,2020-09-12,18:16:02,Photo,"1,164",522,77,207,326,6,0,0,0,26,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3300876753282156,,https://www.facebook.com/kimthatcheroregon/photos/a.1462317600667939/2840651589501193/?type=3,,#TIMBERUNITY FARMERS Standir g UP for WORK NG Oregon ans! www. MBERUNITY.com Follow Us! KIM THATCHER ECRETARY ETATE-,Kim Thatcher for Oregon,"Nothing says ""Oregon"" like a hay convoy. 

This morning, trucks rolled up from Klamath Falls to Tangent laden down with hay, oats, and chicken feed....tens of thousands of dollars worth of donated materials to help families with displaced animals.

For many of these families, the animals they evacuated represent their livelihood or their subsistence.  Keeping them alive and safe is important not just because we love critters in Oregon, but because for some, these animals are going to be their first step to rebuilding what they've lost.

Thank you Timber Unity Farmers for representing the best of what Oregonians have to offer.  

#OregonFires2020
#OregonStrong
#SoGodMadeAFarmer",,,,"1,164",4.97
AWAKE LIKE ME,,918890171535718,none,,,,22560,N/A,2020-09-08 11:43:09 EDT,2020-09-08,11:43:09,Photo,"1,145",615,61,344,118,0,4,0,0,3,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3359214300836614,,https://www.facebook.com/photo.php?fbid=10159691970487573&set=gm.3359214300836614&type=3,,,,,,,,"1,145",7.95
AWAKE LIKE ME,,918890171535718,none,,,,21053,N/A,2020-09-04 02:24:30 EDT,2020-09-04,02:24:30,Photo,"1,145",691,92,311,33,1,12,1,0,4,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3346126592145385,,https://www.facebook.com/photo.php?fbid=10159676105732573&set=gm.3346126592145385&type=3,,,,,,,,"1,145",7.95
Open Oregon,,2882853491751153,none,,,,19023,N/A,2020-09-11 18:58:37 EDT,2020-09-11,18:58:37,Photo,"1,132",560,84,163,278,2,0,3,0,42,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3296674557035709,True hero’s,,,,,,,,,"1,132",4.84
Open Oregon,,2882853491751153,none,,,,18959,N/A,2020-09-10 15:58:05 EDT,2020-09-10,15:58:05,Status,"1,126",258,533,98,10,0,0,157,25,45,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3293422320694266,"It’s beyond disappointing to see that it took catastrophic fires in our beautiful state to finally put an end to the rioting, looting and destruction in Portland. As a lifetime Oregonian, my heart breaks for what is happening to our state right now. It’s unrecognizable in every sense of the word...from the people who have destroyed it to insane acts of nature that are now bringing this state to its knees. When will we get our beloved Oregon back? When will Kate Brown start defending and protecting its people? She let riots go on for over 100 nights and watched Portland burn, now she refuses to call in the National Guard and is watching our whole state burn. When will the abuse stop? My heart is just broken.",,,,,,,,,"1,126",4.3
Open Oregon,,2882853491751153,none,,,,18546,N/A,2020-09-02 12:12:46 EDT,2020-09-02,12:12:46,Photo,"1,115",284,19,504,33,1,270,0,0,4,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3268247409878424,,https://www.facebook.com/photo.php?fbid=10218309228182766&set=gm.3268247409878424&type=3,,,,,,,,"1,115",4.76
AWAKE LIKE ME,,918890171535718,none,,,,21053,N/A,2020-09-04 04:08:10 EDT,2020-09-04,04:08:10,Photo,"1,107",602,28,355,26,5,85,5,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3346364828788228,,https://www.facebook.com/photo.php?fbid=10159676300772573&set=gm.3346364828788228&type=3,,,,,,,,"1,107",7.69
AWAKE LIKE ME,,918890171535718,none,,,,20215,N/A,2020-09-02 03:38:24 EDT,2020-09-02,03:38:24,Photo,"1,090",595,83,264,141,2,3,1,0,1,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3340309126060465,,https://www.facebook.com/photo.php?fbid=10159668650467573&set=gm.3340309126060465&type=3,,,,,,,,"1,090",7.57
Open Oregon,,2882853491751153,none,,,,19319,N/A,2020-09-13 02:47:43 EDT,2020-09-13,02:47:43,Photo,"1,081",582,68,115,283,2,0,0,0,31,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3301925169843981,Thank you Max Sherman for Oregon!!!,https://www.facebook.com/MaxShermanforOregon/photos/a.125246765882872/189317896142425/?type=3,,,Max Sherman for Oregon,"The people in my community are hurting.  As part of the #TimberUnity hay convoy today, I grabbed the truck and trailer and headed into Tangent to meet up with the convoy drop off point.  

5 tons of hay, 1500lbs of chicken scratch, and 8 bags of rolled barley are headed back to Lincoln County for our share of the donated goods.

This effort today really is the best of Oregon and what our people can do and how we can come together to solve problems.

Thank you Timber Unity Farmers from Klamath for STANDING UP for families in need.

#OregonStrong 
#OregonFires2020 
#LincolnCountyStrong",,,,"1,081",4.62
Open Oregon,,2882853491751153,none,,,,18732,N/A,2020-09-06 02:04:12 EDT,2020-09-06,02:04:12,Photo,"1,063",518,361,62,98,3,15,3,2,1,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3278875682148930,"It baffles me how many people feel the need to be walking the streets of Cannon Beach with masks on. At first I thought I could say it was over 10% of the population ( maybe 5% ) without. Well, Kate's sheeple certainly are drinking the koolaid. One story stands out -some young kid turns around in a Brewery line and was like ""umm. Uh. Uh. Uh. Can you please give 6 ft distance between us. Uh. Uh. Uh. "" We're wearing masks ( of course in the establishment) and we might have been 4 feet behind them. I looked at him and was shooing my hands at him going "" okay. Get back to your square "" Oh Kate's pawns. Btw. Your NFL hat isn't cool anymore. Its actually freeing to stand firm on the streets maskless. I'm thinking when we finally know this is a farce I might just start wearing mine. It's a little too people-y out here.",https://www.facebook.com/photo.php?fbid=10221290108659994&set=gm.3278875682148930&type=3,,,,,,,,"1,063",4.54
Open Oregon,,2882853491751153,none,,,,19338,N/A,2020-09-13 21:54:39 EDT,2020-09-13,21:54:39,Link,"1,045",546,186,106,177,6,1,0,1,22,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3304470292922802,,https://katu.com/news/local/oregon-air-natl-guard-deployed-to-help-fight-wildfires-across-the-state,,,Oregon Air Natl. Guard members deployed to help fight wildfires across the state,"PORTLAND, Ore. – Members of the Oregon Air National Guard were deployed Sunday to help fight wildfires across the state. Officials say 75 airmen with the 142nd Fighter Wing left the air base in Portland Sunday morning. They will first be at Echo Mountain, south of Salem, before being sent to o...",,,,"1,045",6.88
Open Oregon,,2882853491751153,none,,,,19087,N/A,2020-09-12 10:19:08 EDT,2020-09-12,10:19:08,Link,"1,033",51,770,39,0,8,94,8,62,1,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3299743953395436,,https://www.kgw.com/article/news/local/antifa-is-not-running-through-the-woods-oregon-man-fights-fires-and-conspiracy-theories-in-viral-video/283-a3dd1ad6-ef94-4e0e-a8c5-9e107835f71c,,,'Antifa is not running through the woods': Oregon man fights fires and conspiracy theories in viral video,TJ Hiner's 12-minute Facebook video dispelling rumors that Antifa is behind the historic Oregon wildfires has been viewed hundreds of thousands of times.,,,,"1,033",6.8
Open Oregon,,2882853491751153,none,,,,27773,N/A,2020-09-02 08:26:42 EDT,2020-09-02,08:26:42,Status,"1,022",410,62,410,133,2,0,1,2,2,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3266716956698136,"I have done my best to respect the diverse opinions regarding COVID-19 over these past few months, but I have these nagging questions about it... An ER Nurse friend posted this and it brilliantly sums up my train of thought: Please just take politics out of it and read this with an open mind using common sense. Anyone out there who can tell me what our end game is with the covid 19? What is the magic formula that is going to allow us to sound the all clear? Is it zero cases? The only way that will happen is if we just stop testing and stop reporting. Is it a vaccine? It took 25 years for a chicken pox vaccine to be developed. The smallpox inoculation was discovered in 1796 the last known natural case was in 1977. We have a flu vaccine that is only 40 to 60% effective and less than half of the US population choose to get one, and roughly 20,000 Americans will die of the flu or flu complications. Oh, you'll mandate it, like other vaccines are mandated in order to attend school, travel to some foreign countries, etc. We already have a growing number of anti vaxxers refusing proven, tested, well known vaccines that have been administered for decades but aren’t necessarily safe! Do you really think people will flock to get a fast tracked, quickly tested vaccine, whose long term side effects and overall efficacy are anyone's best guess? How long are we going to cancel and postpone and reconsider? You aren't doing in person school until second quarter? What if October's numbers are the same as August's? You moved football to spring? What if next March is worse than this one was? When do we decide quality of life outweighs the risks? I understand Covid can be deadly or very dangerous for SOME people, but so are strawberries and so is shellfish. We take risks multiple times a day without a second thought. We know driving a car can be dangerous, we don't leave it in the garage. We know the dangers of smoking, drinking and eating fried foods, we do it anyway. We speed, we don't buckle our seatbelts, we take more than directed. Quite a few people don't think twice about unprotected sex, they just hop right to it. Is hugging Grandma really more dangerous than rush hour on the freeway? Is going out with friends after work more risky than 4 day old gas station sushi? Or operating a chainsaw? When and how did we so quickly lose our free will? Is there a waiver somewhere I can sign that says, ""I understand the risks, but I choose a life with Hugs and Smiles, and the State Fair and Concerts and Homecoming."" I understand that there is a minuscule possibility I could die, but I will most likely end up feeling like crap for a few days. I understand I could possibly pass it to someone else, if I'm not careful, but I can pass any virus onto someone else. I'm struggling to see where or how this ends. We either get busy living or we get busy dying. When it's your time, you don't get any second chance, so I guess I would rather spend my time enjoying it and living in the moment and not worrying about what ifs and maybes, and I bet I'm not the only one. (I copied this from a friend. Feel free to do the same.)",,,,,,,,,"1,022",3.9
AWAKE LIKE ME,,918890171535718,none,,,,20605,N/A,2020-09-03 12:02:04 EDT,2020-09-03,12:02:04,Photo,"1,014",432,128,371,35,0,44,2,0,2,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3344489552309089,,https://www.facebook.com/photo.php?fbid=10159673607312573&set=gm.3344489552309089&type=3,,,,,,,,"1,014",7.04
AWAKE LIKE ME,,918890171535718,none,,,,22324,N/A,2020-09-06 23:12:16 EDT,2020-09-06,23:12:16,Photo,998,638,22,233,100,0,0,0,2,3,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3354178631340181,,https://www.facebook.com/photo.php?fbid=10216894478106389&set=p.10216894478106389&type=3,,BUILD YOUR IMMUNE SYSTEM. TAKE OFF YOUR MASK. SAVE A LIFE.,Diane,,,,,998,6.93
Open Oregon,,2882853491751153,none,,,,18546,N/A,2020-09-02 18:48:29 EDT,2020-09-02,18:48:29,Link,917,46,451,20,0,8,259,4,129,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3269237816446050,I wonder if she’ll go for a hike this Labor Day?,https://www.kgw.com/article/news/health/coronavirus/gov-brown-labor-day-weekend-critical-moment-covid-19/283-43dfd42b-e339-42c8-a2db-f2927f919d96,,,Gov. Brown: Labor Day weekend a 'critical moment' in Oregon's fight against COVID-19,Brown asked Oregonians to keep their gatherings small and stay in their own communities over the holiday weekend.,,,,917,6.03
AWAKE LIKE ME,,918890171535718,none,,,,21451,N/A,2020-09-06 16:15:20 EDT,2020-09-06,16:15:20,Photo,906,575,234,21,68,1,5,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3353835484707829,,https://www.facebook.com/photo.php?fbid=10159685693422573&set=p.10159685693422573&type=3,,,Mike,"Manditory masks in Walmart, I was only person without one, had camo hunting tube in case, but no one said a word to me.  Fear is the real virus.",,,,906,6.29
Open Oregon,,2882853491751153,none,,,,18732,N/A,2020-09-07 00:00:56 EDT,2020-09-07,00:00:56,Link,901,479,191,83,98,16,11,6,15,2,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3282526245117207,,https://www.oregonlive.com/portland/2020/09/police-arrest-59-a-new-peak-on-101st-night-of-portland-protests.html,,,"Police arrest 59, a new peak, on 101st night of Portland protests","In a continual escalation of arrests, Portland police arrested 59 people Saturday night and Sunday morning, by far the most arrests from a single event since the beginning of the protests against police violence and anti-Black racism 101 days ago.",,,,901,5.93
Open Oregon,,2882853491751153,none,,,,19338,N/A,2020-09-14 11:38:12 EDT,2020-09-14,11:38:12,Link,897,372,43,187,268,7,0,0,0,20,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3303741106329054,Reposted from Brigid Nichols Stoops “THIS is the reason we are all safe today!! Take a read! There were other crews just like this on the other fire that was threatening us too. ❤️”,https://canbyfirst.com/all-volunteer-redneck-crew-credited-with-saving-molalla-neighborhood/,,,"All-Volunteer, 'Redneck Crew' Credited with Saving Molalla Neighborhood","Much to his surprise, Bob Oblack's home on Dickey Prairie Road in Molalla was not destroyed by a raging wildfire Friday. When he found it intact the following day, he wondered what had happened.",,,,897,5.9
AWAKE LIKE ME,,918890171535718,none,,,,20605,N/A,2020-09-03 02:07:38 EDT,2020-09-03,02:07:38,Photo,879,459,50,127,149,4,84,0,1,5,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3343192382438806,,https://www.facebook.com/photo.php?fbid=10159672298067573&set=gm.3343192382438806&type=3,,,,,,,,879,6.1
AWAKE LIKE ME,,918890171535718,none,,,,23785,N/A,2020-09-13 11:04:35 EDT,2020-09-13,11:04:35,Photo,878,426,111,154,26,0,161,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3372710109487033,,https://www.facebook.com/greenmedinfo/photos/a.172939738489/10158531723563490/?type=3,,Why are mask wearers still complaining about non mask wearers 6 months later? Shouldn't the non mask wearers all be dead by now?,GreenMedInfo.com,,,,,878,6.1
